Email Address,Golf Day 15/11/13,IML Breakfast 13/3/14,WCM 4-5/6/14,Investment Forum 4/6/14,Midwinter Art Event 6/8/14,Womens Forum 20/08/14,Kapstream 27/08/14,Forum - Point 23/10/14,WCM 5-6/11/14,Golf Day 10/11/14,Albury Dinner 13/11/14,Womens Forum 12/11/14,,Total Cost
1,Attended,,Invited 5th,Attended,,,,Invited,,Invited,,,, $473.01 
2,Attended,,,,,,,,,Invited,,,, $269.57 
3,,,,,,,,,,,,,, $-   
4,,,,,,,,,,,,,, $-   
5,,,,,,,,,,,,,, $-   
6,,,,,Invited,,,,,,,,, $-   
7,,,,,,,Invited10,,,,,,, $-   
8,,,,,,,,,,,,,, $-   
9,,,,,,,,,,,,,, $-   
10,,,,,,,,,,,,,, $-   
11,,,,Invited,,,,,,,,,, $-   
12,,,,,,,,,,,,,, $-   
13,,Attended,Attended,Attended,Invited,Invited19,Attended,Attended,,Invited,,,, $504.74 
14,,Decline,,Invited,,,,Invited,,,,,, $-   
15,,,,Attended,Invited,,,,,,,,, $203.44 
16,,,,,,,,,,,,,, $-   
17,,,,,,,,,,,,,, $-   
18,,,,,,,,,,,,,, $-   
19,,,,,,,,,,,,,, $-   
20,,,,,,,,,,,,,, $-   
21,,,,,,,,,,,,,, $-   
22,,,,,,,,,,,,,, $-   
23,,,,Invited,,,,Invited,6th,Invited,,,, $-   
24,,,,,,,,,,,,,, $-   
25,,,Invited 4th/5th,Invited,Invited,,,Invited,,Invited,,Invited,, $-   
26,,,,Attended,,,,Invited,6th,Invited,,,, $203.44 
27,,,,,,,,,,,,,, $-   
28,,,Invited 5th,Attended,,,,Invited,5th,Invited,,,, $203.44 
29,,,,,,,,,,,,,, $-   
30,,,,,,,,,,,,,, $-   
31,,,,Invited,,,,,,,,,, $-   
32,Attended,,,,Invited,,Invite3,,6th,Invited,,,, $269.57 
33,,,,,,,,,,,,,, $-   
34,,,,,,,,,,,,,, $-   
35,,,Attended,Attended,,Attended,,Attended,,,,,, $448.35 
36,Attended,,,Invited,Invited,,Attended,Attended,5th,Attended,,,, $677.39 
37,,,,,,,,,,,,,, $-   
38,,,,RSVP YES,,,Invited10,Attended,6th,,,,, $204.08 
39,,,,,,,,,6th,,,,, $-   
40,,,,,,,,,,,,,, $-   
41,,,,,,,,,,,,,, $-   
42,Attended,,,Attended,,,,,,Attended,,,, $662.86 
43,,,,,,Invited13,,Invited,,,,,, $-   
44,,,,,,,,,,,,,, $-   
45,,,,,,,,,,,,,, $-   
46,,,,,,,,,,,,,, $-   
47,,,,Invited,,,,,,,,,, $-   
48,,,,Attended,,,Attended,Invited,,Invited,,,, $217.32 
49,,,,,,,,,,,,,, $-   
50,,,,,,,,,,,,,, $-   
51,,,,,,,,,,,,,, $-   
52,,,,,,,,,,,,,, $-   
53,,,,,,,,,,,,,, $-   
54,,Attended,Attended,Attended,,,Attended,Attended,,Attended,,,, $694.59 
55,,,,,,,,,,,,,, $-   
56,,,,Invited,,,,Invited,,,,,, $-   
57,,,,Attended,,,,,,,,,, $203.44 
58,,,,,,,,,,,,,, $-   
59,,,,,,,,,,,,,, $-   
60,,,,Invited,,,Invited10,,,,,,, $-   
61,,,,Attended,Invited,,Attended,Invited,6th,,,,, $217.32 
62,,,,,,,,,,,,,, $-   
63,,,,,,,,Invited,,,,,, $-   
64,,,,Invited,Invited,Invited19,,,,Invited,,,, $-   
65,,,,,,,,,,,,,, $-   
66,,,,,,,,,,,,,, $-   
67,,Decline,,,,,,,,,,,, $-   
68,Attended,,,Attended,Invited,,,Invited,5th,Invited,,,, $473.01 
69,,Attended,,,,Invited13,,,,,,,, $50.00 
70,,,,,,,,Invited,,,,,, $-   
71,,,,,,,,,,,,,, $-   
72,,,,,,,,,,,,,, $-   
73,,,,Invited,invited2,,,,5th,Invited,,,, $-   
74,,,,,,,,,,,,,, $-   
75,,,,,,,,,,,,,, $-   
76,,,,,,,,,,,,,, $-   
77,,,,,,,,,,,,,, $-   
78,,,,,,,,,,,,,, $-   
79,,,,,,,,,,,,,, $-   
